id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.21239E+18,1.21239E+18,1.57789E+12,1/1/20,10:16:45,EDT,216776631,berniesanders,Bernie Sanders,,"Wishing everyone a happy new year! Let us go forward to create a nation that is based on peace, justice and dignity for all people.",[],[],[],660,3538,28892,[],[],https://twitter.com/BernieSanders/status/1212392220764114947,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21247E+18,1.21247E+18,1.57791E+12,1/1/20,15:22:43,EDT,216776631,berniesanders,Bernie Sanders,,"2020 will be a year in which we end corruption in Washington, in which we end greed in Washington, and a year in which we begin the process of creating a government based on the principles of love and compassion.",[],[],[],1146,3037,19174,[],[],https://twitter.com/BernieSanders/status/1212469219331379200,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.2125E+18,1.2125E+18,1.57792E+12,1/1/20,17:21:33,EDT,216776631,berniesanders,Bernie Sanders,,"Today, I am very proud to share with you some extraordinary news: our campaign has received more than 5 million individual contributions — that is more contributions than any campaign has received at this point in a presidential election in the history of our country. pic.twitter.com/XsRHaVEEpT",[],[],[],1279,6352,32343,[],[],https://twitter.com/BernieSanders/status/1212499126262390784,FALSE,,1,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21253E+18,1.21253E+18,1.57792E+12,1/1/20,19:05:26,EDT,216776631,berniesanders,Bernie Sanders,,What is happening in Australia today will become increasingly common around the world if we do not aggressively combat climate change and transform our energy system away from fossil fuels. The future of the planet is at stake. We must act. https://www.wsj.com/video/wildfires-in-australia-trap-thousands-in-vacation-spot/958A9FC2-C549-41DF-BE3D-F8F9BD4F9F16.html …,[],['https://www.wsj.com/video/wildfires-in-australia-trap-thousands-in-vacation-spot/958A9FC2-C549-41DF-BE3D-F8F9BD4F9F16.html'],[],1189,5265,18817,[],[],https://twitter.com/BernieSanders/status/1212525268721688577,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21258E+18,1.21258E+18,1.57794E+12,1/1/20,22:42:40,EDT,216776631,berniesanders,Bernie Sanders,,This is the year we're going to defeat Donald Trump.,[],[],[],4564,14342,139114,[],[],https://twitter.com/BernieSanders/status/1212579938303455232,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21274E+18,1.21274E+18,1.57797E+12,1/2/20,9:16:54,EDT,216776631,berniesanders,Bernie Sanders,,"I'm incredibly proud to announce we raised $34.5 million from 1.8 million contributions in the fourth quarter.

Our average contribution: just $18.

Together, we're proving you don't need to beg the wealthy and the powerful for campaign contributions in order to win elections.",[],[],[],1049,5722,41304,[],[],https://twitter.com/BernieSanders/status/1212739549639651337,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21277E+18,1.21277E+18,1.57798E+12,1/2/20,11:07:40,EDT,216776631,berniesanders,Bernie Sanders,,"My deepest gratitude to you, @JulianCastro, for your tireless efforts to elevate all voices, shed light on the struggles everyday Americans face, and fight for a humane immigration system. I look forward to your continued leadership in the fight to transform our country. https://twitter.com/JulianCastro/status/1212738343588511747 …",['juliancastro'],['https://twitter.com/JulianCastro/status/1212738343588511747'],[],269,2286,21966,[],[],https://twitter.com/BernieSanders/status/1212767423109185538,FALSE,https://twitter.com/JulianCastro/status/1212738343588511747,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}, {'user_id': '19682187', 'username': 'JulianCastro'}]",,,,
1.21279E+18,1.21279E+18,1.57799E+12,1/2/20,12:57:10,EDT,216776631,berniesanders,Bernie Sanders,,"In the last quarter of 2019, an incredible 300,000 people donated to our campaign for the first time.

This campaign is about bringing people into the political process to fight for justice.

That is how we are going to defeat Donald Trump and transform this country.",[],[],[],231,992,6492,[],[],https://twitter.com/BernieSanders/status/1212794980621848576,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21282E+18,1.21282E+18,1.57799E+12,1/2/20,14:23:46,EDT,216776631,berniesanders,Bernie Sanders,,"Meanwhile the Waltons pay entry-level Walmart workers a starvation wage of $11 an hour. That is what outrageous, unfettered greed looks like. And we're going to end it. https://twitter.com/business/status/1212544821207982081 …",[],['https://twitter.com/business/status/1212544821207982081'],[],571,2525,12428,[],[],https://twitter.com/BernieSanders/status/1212816774971957254,FALSE,https://twitter.com/business/status/1212544821207982081,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
1.21282E+18,1.21282E+18,1.57799E+12,1/2/20,14:45:17,EDT,216776631,berniesanders,Bernie Sanders,,"Native Americans have taught us we cannot destroy nature and survive. When I am president, they will get more than a seat at the table. They will be part of the decision making. Live from the Meskwaki Settlement in Iowa: https://www.pscp.tv/w/cN4_zTMyNzU3OTl8MVprS3pBYnZqUmV4dkdcgbgO2AP-rbQMk8g28Qe2MiddZqWwMD06IdSVsVyR …",[],['https://www.pscp.tv/w/cN4_zTMyNzU3OTl8MVprS3pBYnZqUmV4dkdcgbgO2AP-rbQMk8g28Qe2MiddZqWwMD06IdSVsVyR'],[],721,4059,16441,[],[],https://twitter.com/BernieSanders/status/1212822187201052672,FALSE,,0,,,,,,,"[{'user_id': '216776631', 'username': 'BernieSanders'}]",,,,
